estado,rendimiento,colmenas,produccion,porcStock
Alabama,415.0,63.0,2900.0,13.494044550004737
Arizona,370.0,228.0,9364.0,22.829579323130773
Arkansas,547.0,205.0,12632.0,11.995883839273155
California,344.0,2850.0,109660.0,19.778787308053772
Colorado,389.0,269.0,11645.0,25.343433105411393
Florida,452.0,1910.0,96649.0,7.653641575397527
Georgia,358.0,801.0,30944.0,11.33536684580207
Hawaii,903.0,133.0,13283.0,4.790738267284556
Idaho,304.0,859.0,29047.0,26.22277758911342
Illinois,420.0,86.0,3982.0,24.861257734724987
Indiana,480.0,66.0,3512.0,37.904645833886285
Iowa,464.0,331.0,17055.0,52.331965680304954
Kansas,540.0,62.0,3686.0,29.929407059653272
Kentucky,370.0,47.0,1908.0,21.82780408570963
Louisiana,730.0,404.0,33117.0,9.287009126561944
Maine,335.0,97.0,3534.0,16.18200116101199
Michigan,473.0,829.0,43467.0,28.88935992009394
Minnesota,539.0,1104.0,66170.0,22.111839392025214
Mississippi,787.0,176.0,15212.0,5.55406593367557
Missouri,437.0,84.0,4054.0,16.43770616353604
Montana,730.0,1331.0,109180.0,31.222839125404782
Nebraska,502.0,398.0,22245.0,32.3919047518975
New Jersey,281.0,117.0,3638.0,37.763348866476925
New York,493.0,524.0,28765.0,30.539402504096262
North Carolina,355.0,106.0,4212.0,20.782819378605737
North Dakota,651.0,4480.0,323355.0,17.777706725026214
Ohio,587.0,140.0,9061.0,46.102148323559334
Oregon,315.0,717.0,24878.0,30.23201197706142
Other States,376.0,290.0,12406.0,21.635810548633195
Pennsylvania,424.0,159.0,7492.0,34.43429772427672
South Carolina,383.0,119.0,5616.0,5.59983374692004
South Dakota,566.0,2390.0,151384.0,44.998668895023506
Tennessee,473.0,64.0,3369.0,20.570205177689967
Texas,568.0,1153.0,72421.0,19.777682959656
Utah,304.0,251.0,8474.0,12.33048056798801
Vermont,448.0,50.0,2449.0,29.273924620442543
Virginia,346.0,47.0,1809.0,23.78840178150191
Washington,354.0,723.0,28144.0,32.81442790841865
West Virginia,347.0,52.0,2015.0,25.091600689724405
Wisconsin,488.0,455.0,24883.0,35.99954791733752
Wyoming,535.0,356.0,21225.0,13.662965894689613
